id;designation;expense_amount;credits_already_open;credits_open
1;que;revoir aux environs de;svelte athlète probablement;au point que ouah
2;bien que;deçà;vroum;a
3;blablabla;du moment que;sitôt que lorsque guide;généraliser vite
4;par suite de considérer;jeune enfant large;quasiment horrible;psitt
5;en dépit de;membre titulaire;aligner devant altruiste;au point que commis
6;délégation après que mature;sitôt que;a au dépens de autour de;adversaire approximativement
7;conseil d’administration diplomate par suite de;toc de façon que;intrépide;au point que de façon à ce que
8;d'entre;clientèle dire emmener;main-d’œuvre toc-toc autrefois;approximativement
9;pin-pon collègue mince;diplomate;pendant que;parfois
10;conseil d’administration frayer;simple;un peu commencer crac;dès que outre
