id;category;code;designation;account_div;code_end;paragraph
1;OPERATING_EXPENSE;sauf;au-dessus clientèle essayer;patientèle innombrable;vite lectorat;agréable
2;INVESTMENT_RECIPE;considérable au défaut de à seule fin de;jusqu’à ce que installer candide;ferme;ronron parlementaire fonctionnaire;cot cot gérer chanter
3;OPERATING_RECIPE;pourvu que dring pendant que;ouille fonctionnaire;plutôt rentrer remarquer;trop dense;groin groin svelte bè
4;INVESTMENT_RECIPE;compter sédentaire ah;critiquer comme;franco sitôt pour;dring avant;même si grrr
5;OPERATING_EXPENSE;après que clac;coin-coin dans la mesure où;quand sus;bof longtemps gestionnaire;pacifique
6;OPERATING_EXPENSE;de crainte que après que assurément;cultiver aussi jeune enfant;tandis que;édifier à l'insu de;jusqu’à ce que
7;INVESTMENT_RECIPE;incognito chef quoique;manger;trop;adepte;derrière séculaire
8;OPERATING_RECIPE;rectorat atchoum dépenser;dès que miam;drelin commander concernant;ah aussitôt que à condition que;partenaire dès dire
9;INVESTMENT_EXPENSE;mieux tchou tchouu à raison de;smack incliner;téméraire naguère davantage;jadis;débile avant-hier
10;OPERATING_RECIPE;ferme deçà;à bas de;considérable;tandis que;suivant de
