id;engagement_number;engagement_date;object_of_expense;notified_credits;credit_committed;credits_available;amount_proposed_commitment;head_daf;financial_controller;general_manager
1;de peur que;2025-05-03T21:56:12;avant-hier;à bas de dès que;debout tellement après que;aux environs de;ha cyan circulaire;parlementaire toutefois;décoller;d’autant que pendant remuer
2;toutefois;2025-05-04T05:18:44;combien fade que;sage;communauté étudiante;coac coac;smack;bzzz avant de après-demain;actionnaire derrière;brusque en guise de de façon que
3;dense ailleurs;2025-05-03T22:55:53;comment solitaire certainement;résulter camarade avant que;résigner alors que;délégation areu areu;broum membre de l’équipe;au point que;apparemment;police
4;quand tandis que;2025-05-04T03:06:58;smack oups;pis cuicui à demi;incognito;incalculable encore;spécialiste pas mal;tic-tac en outre de;moyennant pauvre;en guise de murmurer
5;foule magnifique équipe;2025-05-04T03:09:16;clientèle;aïe grrr pff;trop;croiser badaboum;céans opposer bien que;ding patientèle vraisemblablement;ouah;hier
6;du moment que ha ha;2025-05-04T03:51:07;totalement;selon badaboum vérifier;en plus de;confirmer intégrer délectable;parce que blablabla;peu sans que insulter;hôte administration;ding blême dring
7;lorsque terne parmi;2025-05-03T19:33:56;à côté de au-dessus chut;ailleurs de sorte que chauffer;selon très guide;énergique innombrable parlementaire;presque;si;bof;d’autant que
8;entièrement devant;2025-05-03T21:42:42;que corps enseignant détecter;insulter si bien que broum;lâche;tranquille hôte de façon à;brave souple à travers;à l'encontre de chef éviter;magnifique magnifique contre;rectorat concernant
9;auprès de;2025-05-04T12:09:33;boulanger après commis de cuisine;sauver assez;pour que aimable;entièrement;brusque secouriste;police;tant que;revêtir tellement
10;souligner sombrer;2025-05-04T02:21:42;assez;pourvu que témoigner par suite de;corner entre-temps;forcer à bas de;bè;du moment que;avant-hier;prestataire de services élaborer
