id;mandate_number;mandate_date;issue_slip_number;month_and_year_of_issue;supporting_documents
1;pff;2025-05-03T16:56:14;du fait que;super retracer au-dessous;responsable rédaction
2;quasiment;2025-05-04T12:33:07;triste rapide adversaire;fidèle cocorico;ouah à l'entour de
3;bang ouille secours;2025-05-03T19:17:05;smack;membre titulaire à même;au lieu de à moins de
4;de peur de même si main-d’œuvre;2025-05-04T06:19:31;délectable si bien que de façon à;infiniment;tant croâ
5;personnel;2025-05-04T03:37:23;échapper hôte;communiquer sans que;prouver virer
6;quasi large;2025-05-04T03:56:29;magnifique coac coac tandis que;boum;loin
7;sans que;2025-05-03T15:06:06;délégation après;gigantesque;snob bè cuicui
8;ronron de peur de;2025-05-04T01:01:26;d’autant que maintenant;rectorat pschitt;mairie hystérique
9;extrêmement percer secours;2025-05-04T01:00:27;de crainte que tandis que;ensuite;juriste oups
10;durant avant que;2025-05-04T09:11:04;ha ha rédaction;à seule fin de grrr mince;carrément
