id;name_of_the_ministry;order_number;order_date;total_amount_without_tax;tax_rate;total_tax_amount;prepaid_tax_amount;total_amount_with_tax;auth_expenditure_number;allocated_credits;committed_expenditures;available_balance
1;hisser entre pff;délectable;2025-05-03T23:27:00;21550.33;27391.07;19366.11;4280.14;31672.86;moins environ;18893.88;23409.84;31980.06
2;secours clac rose;dehors;2025-05-03T20:41:26;15258.46;3577.15;10247.11;28662.49;27562.12;rose loin de à travers;22584.08;10698.92;31709.18
3;mieux;même via;2025-05-04T04:37:00;5122.6;32400.12;2538.03;16372.01;18856.23;sitôt que tant;13100.27;26569;30330.62
4;oups embrasser d'après;réconcilier novice direction;2025-05-03T20:40:10;27398.26;1802.45;11439.88;2776.96;20396.33;à moins de;29964.77;24233.63;1971.56
5;dans la mesure où;après que devant certainement;2025-05-03T18:46:08;23454.5;1600.9;18384.93;10165.3;16776.66;réunir;15297.17;24540.21;9096.72
6;téméraire boum;parlementaire;2025-05-04T06:31:00;23431.67;29446.7;18777.43;18921.98;12364.51;vouh;10194.82;19983.87;22724.95
7;jeune enfant;ha ha loin;2025-05-03T19:48:46;27608.12;8014.78;31974.14;20471.73;27905.85;avant que;15837.57;10167.69;7039.39
8;ding électorat ouille;au point que que;2025-05-04T09:12:57;4945.35;8097.39;32532.96;30529.09;12481.62;satisfaire;28154.76;28749.81;32031.57
9;proche vroum;déjeuner dégager personnel;2025-05-03T17:22:21;20568.63;6922.55;8570.69;8966.2;29096.51;sauf à afin de à l'exception de;10320.2;28964.14;27404.12
10;partout;carrément;2025-05-04T03:25:53;12246.7;1157.27;26114.46;18162.43;18194.07;grandir;10293.88;23315.43;29520
